prompt_id,prompt_text,ref_path,variant,gen_path
animals_and_ecology_001_single,"A small, young black gorilla with a fuzzy coat stands on green grass, curiously exploring its surroundings while looking directly at the camera. Behind it, a larger adult black gorilla sits calmly in the background, appearing to rest and facing left. The baby gorilla moves slightly forward, maintaining an alert stance as it looks around, suggesting playful movement or cautious exploration. Sunlight filters through the dense foliage above, casting soft shadows across the scene, highlighting the rich textures of the gorillas' fur and the vibrant greenery that fills the frame.",http://172.16.82.12:8010/ref/animals_and_ecology_001_single/ref.mp4,1,http://172.16.82.12:8010/gen/animals_and_ecology_001_single/wan21.mp4
animals_and_ecology_001_single,"A small, young black gorilla with a fuzzy coat stands on green grass, curiously exploring its surroundings while looking directly at the camera. Behind it, a larger adult black gorilla sits calmly in the background, appearing to rest and facing left. The baby gorilla moves slightly forward, maintaining an alert stance as it looks around, suggesting playful movement or cautious exploration. Sunlight filters through the dense foliage above, casting soft shadows across the scene, highlighting the rich textures of the gorillas' fur and the vibrant greenery that fills the frame.",http://172.16.82.12:8010/ref/animals_and_ecology_001_single/ref.mp4,2,http://172.16.82.12:8010/gen/animals_and_ecology_001_single/vidu.mp4
animals_and_ecology_001_single,"A small, young black gorilla with a fuzzy coat stands on green grass, curiously exploring its surroundings while looking directly at the camera. Behind it, a larger adult black gorilla sits calmly in the background, appearing to rest and facing left. The baby gorilla moves slightly forward, maintaining an alert stance as it looks around, suggesting playful movement or cautious exploration. Sunlight filters through the dense foliage above, casting soft shadows across the scene, highlighting the rich textures of the gorillas' fur and the vibrant greenery that fills the frame.",http://172.16.82.12:8010/ref/animals_and_ecology_001_single/ref.mp4,3,http://172.16.82.12:8010/gen/animals_and_ecology_001_single/cogfun.mp4
animals_and_ecology_001_single,"A small, young black gorilla with a fuzzy coat stands on green grass, curiously exploring its surroundings while looking directly at the camera. Behind it, a larger adult black gorilla sits calmly in the background, appearing to rest and facing left. The baby gorilla moves slightly forward, maintaining an alert stance as it looks around, suggesting playful movement or cautious exploration. Sunlight filters through the dense foliage above, casting soft shadows across the scene, highlighting the rich textures of the gorillas' fur and the vibrant greenery that fills the frame.",http://172.16.82.12:8010/ref/animals_and_ecology_001_single/ref.mp4,4,http://172.16.82.12:8010/gen/animals_and_ecology_001_single/cogvideo5b.mp4
animals_and_ecology_001_single,"A small, young black gorilla with a fuzzy coat stands on green grass, curiously exploring its surroundings while looking directly at the camera. Behind it, a larger adult black gorilla sits calmly in the background, appearing to rest and facing left. The baby gorilla moves slightly forward, maintaining an alert stance as it looks around, suggesting playful movement or cautious exploration. Sunlight filters through the dense foliage above, casting soft shadows across the scene, highlighting the rich textures of the gorillas' fur and the vibrant greenery that fills the frame.",http://172.16.82.12:8010/ref/animals_and_ecology_001_single/ref.mp4,5,http://172.16.82.12:8010/gen/animals_and_ecology_001_single/videocrafter.mp4
animals_and_ecology_002_multi,"shot1: A large gorilla with dark fur and a lighter gray back sits on the ground, facing away from the camera while eating something yellowish from a block near its feet; another smaller gorilla walks towards a building in the background where sunlight filters through green plants scattered around sandy terrain, surrounded by objects like a hanging tire swing, ropes, wooden structures, and patches of sand.
shot2: A gorilla with dark fur sits on the sandy ground inside an enclosure, partially obscured by green foliage near a large window, while another gorilla is visible in the background; outside the glass, dense vegetation surrounds the area.",http://172.16.82.12:8010/ref/animals_and_ecology_002_multi/ref.mp4,1,http://172.16.82.12:8010/gen/animals_and_ecology_002_multi/wan21.mp4
animals_and_ecology_002_multi,"shot1: A large gorilla with dark fur and a lighter gray back sits on the ground, facing away from the camera while eating something yellowish from a block near its feet; another smaller gorilla walks towards a building in the background where sunlight filters through green plants scattered around sandy terrain, surrounded by objects like a hanging tire swing, ropes, wooden structures, and patches of sand.
shot2: A gorilla with dark fur sits on the sandy ground inside an enclosure, partially obscured by green foliage near a large window, while another gorilla is visible in the background; outside the glass, dense vegetation surrounds the area.",http://172.16.82.12:8010/ref/animals_and_ecology_002_multi/ref.mp4,2,http://172.16.82.12:8010/gen/animals_and_ecology_002_multi/vidu.mp4
animals_and_ecology_002_multi,"shot1: A large gorilla with dark fur and a lighter gray back sits on the ground, facing away from the camera while eating something yellowish from a block near its feet; another smaller gorilla walks towards a building in the background where sunlight filters through green plants scattered around sandy terrain, surrounded by objects like a hanging tire swing, ropes, wooden structures, and patches of sand.
shot2: A gorilla with dark fur sits on the sandy ground inside an enclosure, partially obscured by green foliage near a large window, while another gorilla is visible in the background; outside the glass, dense vegetation surrounds the area.",http://172.16.82.12:8010/ref/animals_and_ecology_002_multi/ref.mp4,3,http://172.16.82.12:8010/gen/animals_and_ecology_002_multi/cogfun.mp4
animals_and_ecology_002_multi,"shot1: A large gorilla with dark fur and a lighter gray back sits on the ground, facing away from the camera while eating something yellowish from a block near its feet; another smaller gorilla walks towards a building in the background where sunlight filters through green plants scattered around sandy terrain, surrounded by objects like a hanging tire swing, ropes, wooden structures, and patches of sand.
shot2: A gorilla with dark fur sits on the sandy ground inside an enclosure, partially obscured by green foliage near a large window, while another gorilla is visible in the background; outside the glass, dense vegetation surrounds the area.",http://172.16.82.12:8010/ref/animals_and_ecology_002_multi/ref.mp4,4,http://172.16.82.12:8010/gen/animals_and_ecology_002_multi/cogvideo5b.mp4
animals_and_ecology_002_multi,"shot1: A large gorilla with dark fur and a lighter gray back sits on the ground, facing away from the camera while eating something yellowish from a block near its feet; another smaller gorilla walks towards a building in the background where sunlight filters through green plants scattered around sandy terrain, surrounded by objects like a hanging tire swing, ropes, wooden structures, and patches of sand.
shot2: A gorilla with dark fur sits on the sandy ground inside an enclosure, partially obscured by green foliage near a large window, while another gorilla is visible in the background; outside the glass, dense vegetation surrounds the area.",http://172.16.82.12:8010/ref/animals_and_ecology_002_multi/ref.mp4,5,http://172.16.82.12:8010/gen/animals_and_ecology_002_multi/videocrafter.mp4
