task_id,sample_id,category,model_a,model_b,completed,current_ratings,judges,choices,model_a_wins,model_b_wins,ties
1,animals_and_ecology_001_single,animals_and_ecology,sora2,videocrafter,0,0,,,0,0,0
2,animals_and_ecology_002_multi,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
3,animals_and_ecology_002_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
4,animals_and_ecology_003_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
5,animals_and_ecology_003_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
6,animals_and_ecology_003_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
7,animals_and_ecology_005_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
8,animals_and_ecology_007_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
9,animals_and_ecology_007_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
10,animals_and_ecology_007_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
11,animals_and_ecology_008_multi,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
12,animals_and_ecology_008_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
13,animals_and_ecology_008_multi,animals_and_ecology,kling,vidu,0,0,,,0,0,0
14,animals_and_ecology_009_multi,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
15,animals_and_ecology_009_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
16,animals_and_ecology_009_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
17,animals_and_ecology_009_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
18,animals_and_ecology_009_single,animals_and_ecology,jimeng,sora2,0,0,,,0,0,0
19,animals_and_ecology_009_single,animals_and_ecology,jimeng,wan21,0,0,,,0,0,0
20,animals_and_ecology_009_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
21,animals_and_ecology_010_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
22,animals_and_ecology_011_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
23,animals_and_ecology_011_single,animals_and_ecology,cogfun,jimeng,0,0,,,0,0,0
24,animals_and_ecology_011_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
25,animals_and_ecology_011_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
26,animals_and_ecology_011_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
27,animals_and_ecology_011_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
28,animals_and_ecology_011_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
29,animals_and_ecology_011_single,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
30,animals_and_ecology_011_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
31,animals_and_ecology_011_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
32,animals_and_ecology_012_single,animals_and_ecology,jimeng,sora2,0,0,,,0,0,0
33,animals_and_ecology_012_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
34,animals_and_ecology_012_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
35,animals_and_ecology_013_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
